user_id,/,/about,/features,/features/desktop,/features/mobile,/features/web,/pricing,/signup,/tutorial/end,/tutorial/intro,/tutorial/step-four,/tutorial/step-one,/tutorial/step-three,/tutorial/step-two,drop,length,path,user_agent,user_id
22,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
23,9.0,0.0,4.0,0.0,0.0,9.0,0.0,3.0,2.0,12.0,4.0,14.0,16.0,6.0,,,,,
24,6.0,0.0,0.0,16.0,0.0,0.0,0.0,4.0,9.0,9.0,4.0,10.0,3.0,3.0,,,,,
25,8.0,0.0,0.0,5.0,17.0,3.0,0.0,3.0,9.0,16.0,15.0,4.0,18.0,1.0,,,,,
26,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,11.0,8.0,4.0,12.0,13.0,,,,,
27,20.0,0.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
28,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
29,5.0,0.0,0.0,0.0,0.0,5.0,8.0,15.0,0.0,7.0,0.0,3.0,2.0,12.0,,,,,
30,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
31,16.0,0.0,10.0,11.0,13.0,0.0,0.0,20.0,20.0,14.0,9.0,15.0,6.0,13.0,,,,,
32,12.0,0.0,0.0,9.0,0.0,0.0,0.0,18.0,0.0,10.0,0.0,3.0,0.0,0.0,,,,,
33,13.0,0.0,13.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,,,,,
34,19.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,11.0,1.0,4.0,15.0,2.0,,,,,
35,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
36,2.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
37,13.0,0.0,0.0,20.0,0.0,0.0,0.0,8.0,14.0,6.0,16.0,12.0,17.0,6.0,,,,,
38,7.0,0.0,0.0,12.0,0.0,9.0,0.0,6.0,7.0,6.0,5.0,11.0,7.0,17.0,,,,,
39,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
40,7.0,0.0,0.0,0.0,0.0,12.0,0.0,13.0,1.0,1.0,14.0,9.0,18.0,3.0,,,,,
41,14.0,0.0,0.0,8.0,16.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
42,9.0,0.0,20.0,16.0,0.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
43,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
44,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
45,11.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
46,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
47,14.0,0.0,17.0,0.0,17.0,14.0,0.0,1.0,11.0,13.0,17.0,19.0,14.0,14.0,,,,,
48,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
49,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
50,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
51,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
52,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
53,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
54,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
55,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
56,8.0,0.0,11.0,0.0,0.0,15.0,0.0,1.0,0.0,6.0,19.0,15.0,12.0,8.0,,,,,
57,11.0,0.0,19.0,0.0,0.0,0.0,0.0,5.0,4.0,10.0,3.0,6.0,14.0,17.0,,,,,
58,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
59,5.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,20.0,15.0,10.0,14.0,5.0,14.0,,,,,
60,2.0,0.0,0.0,0.0,0.0,0.0,20.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
61,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
62,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
63,14.0,0.0,2.0,8.0,0.0,0.0,0.0,10.0,9.0,4.0,7.0,4.0,7.0,19.0,,,,,
64,10.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,16.0,19.0,14.0,20.0,12.0,7.0,,,,,
65,2.0,0.0,0.0,0.0,0.0,10.0,0.0,11.0,9.0,5.0,19.0,1.0,9.0,5.0,,,,,
66,2.0,0.0,19.0,0.0,20.0,16.0,0.0,5.0,0.0,18.0,0.0,5.0,0.0,12.0,,,,,
67,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
68,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
69,8.0,0.0,10.0,6.0,18.0,0.0,0.0,5.0,0.0,20.0,0.0,14.0,15.0,7.0,,,,,
70,10.0,0.0,0.0,12.0,15.0,9.0,1.0,4.0,8.0,11.0,3.0,18.0,7.0,12.0,,,,,
71,17.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,7.0,0.0,12.0,15.0,9.0,,,,,
72,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
73,6.0,0.0,0.0,0.0,6.0,0.0,0.0,18.0,12.0,8.0,5.0,10.0,20.0,10.0,,,,,
74,3.0,0.0,1.0,0.0,15.0,0.0,0.0,3.0,0.0,2.0,0.0,17.0,0.0,11.0,,,,,
75,10.0,0.0,0.0,20.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
76,3.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,17.0,13.0,3.0,16.0,10.0,1.0,,,,,
77,15.0,0.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,9.0,0.0,0.0,,,,,
78,16.0,0.0,0.0,0.0,20.0,10.0,0.0,13.0,20.0,2.0,3.0,16.0,14.0,3.0,,,,,
79,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
80,12.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,18.0,0.0,0.0,0.0,0.0,,,,,
81,12.0,0.0,0.0,10.0,8.0,16.0,0.0,9.0,8.0,5.0,10.0,8.0,3.0,19.0,,,,,
82,16.0,0.0,0.0,0.0,0.0,16.0,3.0,11.0,0.0,17.0,0.0,20.0,6.0,5.0,,,,,
83,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
84,12.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
85,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
86,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
87,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
88,6.0,0.0,0.0,0.0,4.0,0.0,15.0,6.0,0.0,11.0,0.0,0.0,0.0,0.0,,,,,
89,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
90,5.0,0.0,19.0,10.0,0.0,17.0,0.0,8.0,0.0,9.0,0.0,5.0,0.0,19.0,,,,,
91,20.0,0.0,0.0,18.0,0.0,0.0,0.0,15.0,0.0,18.0,0.0,20.0,0.0,0.0,,,,,
92,1.0,0.0,0.0,0.0,17.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
93,18.0,0.0,11.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
94,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
95,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
96,2.0,0.0,0.0,0.0,0.0,5.0,0.0,18.0,0.0,4.0,0.0,0.0,0.0,0.0,,,,,
97,11.0,0.0,0.0,11.0,0.0,0.0,0.0,4.0,9.0,15.0,16.0,18.0,18.0,16.0,,,,,
98,20.0,0.0,0.0,0.0,15.0,16.0,0.0,14.0,15.0,13.0,10.0,6.0,13.0,1.0,,,,,
99,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
100,12.0,0.0,0.0,0.0,3.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
101,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
102,1.0,0.0,0.0,0.0,12.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
103,14.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
104,8.0,0.0,13.0,0.0,0.0,16.0,0.0,3.0,15.0,18.0,11.0,5.0,18.0,3.0,,,,,
105,6.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,12.0,0.0,0.0,0.0,0.0,,,,,
106,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
107,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
108,17.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,11.0,9.0,4.0,7.0,13.0,,,,,
109,10.0,0.0,0.0,17.0,0.0,0.0,0.0,14.0,0.0,20.0,10.0,9.0,1.0,14.0,,,,,
110,2.0,19.0,0.0,4.0,9.0,2.0,0.0,15.0,0.0,11.0,12.0,13.0,8.0,7.0,,,,,
111,2.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
112,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
113,17.0,0.0,0.0,0.0,0.0,17.0,0.0,16.0,0.0,5.0,0.0,13.0,13.0,20.0,,,,,
114,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
115,1.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
116,14.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,12.0,0.0,19.0,6.0,19.0,,,,,
117,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
118,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
119,19.0,0.0,20.0,0.0,18.0,0.0,0.0,13.0,0.0,11.0,0.0,2.0,14.0,9.0,,,,,
120,11.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,15.0,0.0,5.0,13.0,2.0,,,,,
121,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
122,4.0,0.0,0.0,14.0,0.0,0.0,0.0,8.0,19.0,10.0,8.0,18.0,14.0,20.0,,,,,
123,10.0,0.0,0.0,12.0,0.0,0.0,0.0,18.0,1.0,3.0,4.0,5.0,4.0,14.0,,,,,
124,14.0,0.0,0.0,0.0,16.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
125,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
126,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
127,11.0,11.0,0.0,0.0,14.0,0.0,0.0,3.0,11.0,17.0,13.0,12.0,4.0,16.0,,,,,
128,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
129,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
130,19.0,0.0,0.0,0.0,0.0,16.0,0.0,4.0,3.0,5.0,13.0,14.0,19.0,11.0,,,,,
131,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
132,13.0,0.0,0.0,0.0,0.0,1.0,14.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
133,11.0,0.0,0.0,0.0,18.0,0.0,0.0,20.0,0.0,16.0,0.0,0.0,0.0,0.0,,,,,
134,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
135,9.0,0.0,6.0,0.0,17.0,0.0,0.0,15.0,1.0,1.0,18.0,4.0,1.0,9.0,,,,,
136,8.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,2.0,4.0,5.0,2.0,8.0,4.0,,,,,
137,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,16.0,19.0,12.0,17.0,5.0,,,,,
138,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
139,12.0,0.0,0.0,0.0,4.0,9.0,0.0,6.0,20.0,6.0,4.0,18.0,13.0,9.0,,,,,
140,20.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,8.0,0.0,7.0,0.0,0.0,,,,,
141,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
142,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
143,7.0,14.0,0.0,4.0,20.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
144,14.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
145,12.0,0.0,0.0,0.0,0.0,9.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
146,9.0,0.0,0.0,0.0,12.0,0.0,0.0,10.0,2.0,3.0,11.0,19.0,19.0,16.0,,,,,
147,7.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,1.0,12.0,11.0,11.0,,,,,
148,12.0,0.0,0.0,13.0,6.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
149,18.0,0.0,0.0,0.0,0.0,0.0,20.0,13.0,13.0,11.0,14.0,18.0,18.0,7.0,,,,,
150,13.0,0.0,3.0,12.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
151,1.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
152,20.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
153,9.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,3.0,0.0,4.0,,,,,
154,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
155,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,19.0,15.0,18.0,2.0,9.0,5.0,,,,,
156,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
157,20.0,9.0,16.0,0.0,0.0,0.0,0.0,11.0,0.0,9.0,0.0,0.0,0.0,0.0,,,,,
158,2.0,0.0,20.0,0.0,0.0,4.0,0.0,8.0,16.0,6.0,4.0,19.0,13.0,10.0,,,,,
159,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
160,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
161,8.0,0.0,0.0,0.0,0.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
162,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
163,15.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,15.0,4.0,16.0,1.0,8.0,,,,,
164,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
165,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
166,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
167,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
168,17.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,4.0,12.0,17.0,12.0,17.0,,,,,
169,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
170,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
171,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
172,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
173,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
174,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
175,18.0,0.0,0.0,0.0,19.0,0.0,9.0,19.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,
176,15.0,0.0,0.0,0.0,9.0,3.0,0.0,20.0,7.0,10.0,11.0,1.0,10.0,15.0,,,,,
177,19.0,0.0,0.0,0.0,7.0,0.0,0.0,16.0,0.0,5.0,0.0,0.0,0.0,0.0,,,,,
178,12.0,0.0,9.0,0.0,16.0,0.0,0.0,1.0,0.0,18.0,0.0,8.0,0.0,19.0,,,,,
179,7.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,8.0,3.0,1.0,6.0,8.0,9.0,,,,,
180,17.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
181,15.0,0.0,0.0,19.0,5.0,0.0,0.0,14.0,0.0,16.0,3.0,13.0,3.0,11.0,,,,,
182,11.0,0.0,0.0,19.0,0.0,0.0,0.0,20.0,18.0,18.0,7.0,8.0,13.0,3.0,,,,,
183,8.0,0.0,0.0,0.0,0.0,7.0,12.0,18.0,19.0,9.0,13.0,13.0,13.0,3.0,,,,,
184,15.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,6.0,5.0,8.0,5.0,14.0,18.0,,,,,
185,3.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
186,15.0,0.0,18.0,0.0,0.0,0.0,0.0,9.0,1.0,10.0,7.0,18.0,12.0,20.0,,,,,
187,2.0,0.0,0.0,0.0,0.0,0.0,17.0,15.0,4.0,18.0,7.0,7.0,9.0,15.0,,,,,
188,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
189,10.0,0.0,0.0,2.0,0.0,12.0,0.0,12.0,5.0,2.0,16.0,8.0,12.0,6.0,,,,,
190,16.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
191,2.0,0.0,0.0,0.0,7.0,9.0,0.0,5.0,0.0,20.0,0.0,19.0,10.0,8.0,,,,,
192,20.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,13.0,0.0,0.0,0.0,0.0,,,,,
193,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
194,12.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
195,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
196,12.0,0.0,0.0,0.0,2.0,0.0,0.0,16.0,4.0,5.0,14.0,11.0,6.0,6.0,,,,,
197,19.0,0.0,0.0,0.0,0.0,13.0,0.0,20.0,4.0,7.0,12.0,15.0,17.0,1.0,,,,,
198,12.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,14.0,0.0,13.0,0.0,13.0,,,,,
199,13.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
200,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
201,15.0,0.0,3.0,2.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
202,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
203,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
204,8.0,0.0,0.0,16.0,0.0,20.0,0.0,6.0,0.0,14.0,10.0,20.0,6.0,1.0,,,,,
205,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
206,14.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,11.0,4.0,10.0,1.0,4.0,3.0,,,,,
207,18.0,0.0,0.0,0.0,0.0,0.0,15.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
208,20.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,4.0,0.0,6.0,0.0,3.0,,,,,
209,6.0,12.0,0.0,9.0,0.0,12.0,0.0,1.0,13.0,9.0,8.0,16.0,2.0,18.0,,,,,
210,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
211,16.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,12.0,0.0,13.0,0.0,0.0,,,,,
212,17.0,0.0,0.0,0.0,0.0,6.0,0.0,16.0,0.0,12.0,0.0,8.0,5.0,10.0,,,,,
213,18.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,11.0,5.0,20.0,13.0,3.0,6.0,,,,,
214,19.0,0.0,0.0,12.0,0.0,0.0,0.0,5.0,4.0,20.0,10.0,17.0,17.0,9.0,,,,,
215,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
216,13.0,0.0,0.0,17.0,15.0,1.0,0.0,4.0,0.0,9.0,0.0,0.0,0.0,0.0,,,,,
217,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
218,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
